property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
apartment,BenitoJuarez,MXN,142200.8,90.0,1580.0,19.367728,-99.156645,No
apartment,BenitoJuarez,MXN,76395.4,90.0,848.8,19.400785,-99.147419,No
apartment,MiguelHidalgo,USD,1125000.0,260.0,4326.9,19.430456,-99.1889121,No
apartment,Tlalpan,MXN,149438.2,87.0,1717.7,19.2745241,-99.1515694,No
apartment,AlvaroObregon,MXN,222389.7,80.0,2779.9,19.376482,-99.2587951,No
apartment,MiguelHidalgo,USD,947592.0,175.0,5414.8,19.407269,-99.190754,No
apartment,Iztacalco,MXN,131239.9,254.0,516.7,19.395901,-99.097612,No
apartment,BenitoJuarez,MXN,258163.8,190.0,1358.8,19.375658,-99.186109,No
house,Coyoacan,MXN,305654.1,200.0,1528.3,19.307427366,-99.1170322895,No
apartment,BenitoJuarez,MXN,93311.2,114.0,818.5,19.39177,-99.159996,No
apartment,AlvaroObregon,MXN,40103.5,65.0,617.0,19.366632,-99.1979,No
apartment,Iztacalco,MXN,68070.9,80.0,850.9,19.400731,-99.125466,No
apartment,Cuajimalpa,MXN,196784.0,83.0,2370.9,19.35735,-99.299792,No
house,GustavoAMadero,MXN,779760.0,804.0,969.9,19.519724,-99.14607,No
house,GustavoAMadero,MXN,116437.1,445.0,261.7,19.469479,-99.104805,No
apartment,Iztapalapa,MXN,39409.5,61.0,646.1,19.337163,-99.080899,No
house,Xochimilco,MXN,197574.3,124.0,1593.3,19.279143,-99.130161,No
house,AlvaroObregon,MXN,49999.5,60.0,833.3,19.361606,-99.201739,No
apartment,Cuajimalpa,MXN,553339.3,320.0,1729.2,19.390415,-99.254997,No
apartment,Cuauhtemoc,MXN,38988.0,35.0,1113.9,19.4517419505,-99.1570790112,No
house,Iztapalapa,MXN,176499.7,200.0,882.5,19.374413,-99.105499,No
apartment,MiguelHidalgo,MXN,1053979.6,190.0,5547.3,19.430456,-99.1889121,No
apartment,Cuauhtemoc,MXN,44794.1,55.0,814.4,19.435666,-99.14973,No
house,VenustianoCarranza,MXN,202843.0,200.0,1014.2,19.412011,-99.106233,No
apartment,Cuauhtemoc,MXN,207057.9,180.0,1150.3,19.41498,-99.177444,No
apartment,BenitoJuarez,MXN,246572.7,120.0,2054.8,19.393401,-99.165187,No
house,Xochimilco,MXN,143237.0,90.0,1591.5,19.276603,-99.137819,No
apartment,Cuauhtemoc,MXN,112046.6,112.0,1000.4,19.431629,-99.162762,No
apartment,Tlahuac,MXN,53399.9,60.0,890.0,19.2990233,-99.0436467,No
apartment,MiguelHidalgo,MXN,35847.9,65.0,551.5,19.453854,-99.193979,No
apartment,MiguelHidalgo,USD,999375.0,256.0,3903.8,19.407269,-99.190754,Yes
house,Iztapalapa,MXN,94858.2,160.0,592.9,19.3383626772,-99.0706713125,No
apartment,Azcapotzalco,MXN,29962.6,60.0,499.4,19.458968,-99.152898,No
house,Iztapalapa,MXN,70562.4,131.0,538.6,19.345087,-99.10273,No
apartment,BenitoJuarez,MXN,168596.7,90.0,1873.3,19.394073,-99.153915,No
house,Coyoacan,MXN,52265.0,70.0,746.6,19.346749,-99.145944,No
apartment,Iztapalapa,MXN,35984.9,65.0,553.6,19.332034,-99.062028,No
house,Iztacalco,MXN,168636.7,180.0,936.9,19.381207,-99.0978814,No
house,AlvaroObregon,MXN,204493.8,287.0,712.5,19.3398,-99.215945,No
apartment,BenitoJuarez,MXN,492618.6,159.0,3098.2,19.3753948137,-99.1657587614,No
apartment,Tlahuac,MXN,16967.2,50.0,339.3,19.305214,-99.046887,No
apartment,BenitoJuarez,MXN,123813.2,147.0,842.3,19.387245,-99.147388,No
apartment,Cuajimalpa,MXN,89904.2,47.0,1912.9,19.35735,-99.299792,No
apartment,BenitoJuarez,MXN,105794.4,63.0,1679.3,19.366081,-99.139389,No
house,MiguelHidalgo,USD,4000000.0,713.0,5610.1,19.420166,-99.220367,Yes
apartment,BenitoJuarez,MXN,37196.6,64.0,581.2,19.370272,-99.149127,No
house,Iztapalapa,MXN,77169.9,208.0,371.0,19.366935,-99.077541,No
apartment,BenitoJuarez,MXN,79820.0,70.0,1140.3,19.386715,-99.143999,No
house,Cuajimalpa,MXN,379342.7,420.0,903.2,19.367827,-99.289665,No
apartment,Azcapotzalco,MXN,29969.7,70.0,428.1,19.458968,-99.152898,No
house,AlvaroObregon,MXN,822051.4,658.0,1249.3,19.3641188,-99.2640457,Yes
