,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
11711,house,MiguelHidalgo,USD,5308000.0,2000.0,2654.0,19.4168101,-99.229545,Yes
11726,house,Cuajimalpa,MXN,1434548.0,847.0,1694.0,19.3904162,-99.2550003,No
11729,apartment,Cuajimalpa,USD,2300000.0,680.0,3382.0,19.390415,-99.254997,No
11736,house,Cuauhtemoc,MXN,1027386.0,500.0,2055.0,19.41848,-99.15472,No
11738,apartment,MiguelHidalgo,USD,1380700.0,269.0,5133.0,19.4366477,-99.2004096,No
11740,apartment,Cuajimalpa,MXN,1369849.0,674.0,2032.0,19.386866,-99.255363,No
11785,apartment,MiguelHidalgo,USD,2124523.0,293.0,7251.0,19.407269,-99.190754,Yes
11808,house,MiguelHidalgo,MXN,6587372.0,2014.0,3271.0,19.420166,-99.220367,Yes
11848,apartment,MiguelHidalgo,USD,1850000.0,309.0,5987.0,19.433077,-99.198212,Yes
11868,house,Cuajimalpa,USD,1490000.0,426.0,3498.0,19.3917648,-99.2566869,No
11872,apartment,MiguelHidalgo,USD,1306012.0,193.0,6767.0,19.435388,-99.205894,No
11884,apartment,MiguelHidalgo,USD,1200000.0,170.0,7059.0,19.407269,-99.190754,No
11910,apartment,MiguelHidalgo,USD,2000000.0,380.0,5263.0,19.407269,-99.190754,No
11916,apartment,MiguelHidalgo,USD,4200000.0,800.0,5250.0,19.4019971,-99.2250979,No
11920,house,AlvaroObregon,MXN,1449222.0,800.0,1812.0,19.390806,-99.195413,Yes
11955,apartment,MiguelHidalgo,USD,1181622.0,302.0,3913.0,19.4304243,-99.1910037,No
11990,apartment,MiguelHidalgo,USD,1053676.0,229.0,4601.0,19.4354835,-99.2106606,No
12056,apartment,MiguelHidalgo,USD,1195000.0,263.0,4544.0,19.407269,-99.190754,No
12057,apartment,MiguelHidalgo,USD,1159043.0,229.0,5061.0,19.407269,-99.190754,Yes
12079,apartment,MiguelHidalgo,USD,1224898.0,229.0,5349.0,19.407269,-99.190754,Yes
12080,apartment,MiguelHidalgo,MXN,1264775.0,540.0,2342.0,19.2464696,-99.1013498,No
12117,house,Tlalpan,MXN,1053980.0,443.0,2379.0,19.288275,-99.167125,No
12122,apartment,MiguelHidalgo,USD,1147093.0,178.0,6444.0,19.4354835,-99.2106606,No
12128,house,MiguelHidalgo,MXN,1739066.0,600.0,2898.0,19.401079,-99.24807,No
12129,apartment,Cuajimalpa,USD,1900000.0,500.0,3800.0,19.35735,-99.299792,No
12130,house,AlvaroObregon,MXN,1844464.0,1000.0,1844.0,19.3172544,-99.2037972,No
12137,house,AlvaroObregon,MXN,1844464.0,701.0,2631.0,19.320576,-99.20929,No
12139,store,Cuauhtemoc,MXN,2212832.0,733.0,3019.0,19.4420536,-99.1606678,No
12171,apartment,MiguelHidalgo,USD,1500000.0,200.0,7500.0,19.407269,-99.190754,No
12207,apartment,MiguelHidalgo,USD,1426000.0,335.0,4257.0,19.2464696,-99.1013498,Yes
12212,apartment,MiguelHidalgo,USD,1211727.0,229.0,5291.0,19.407269,-99.190754,Yes
12264,house,AlvaroObregon,USD,1850000.0,550.0,3364.0,19.390806,-99.195413,No
12275,house,Cuajimalpa,MXN,1264775.0,700.0,1807.0,19.3827207,-99.2622691,No
12296,apartment,Cuajimalpa,USD,2000000.0,550.0,3636.0,19.390415,-99.254997,No
12317,house,Cuajimalpa,USD,1400000.0,1163.0,1204.0,19.382275,-99.270241,Yes
12340,apartment,MiguelHidalgo,USD,1932962.0,199.0,9713.0,19.4360809165,-99.2062103748,No
12344,apartment,MiguelHidalgo,USD,2463000.0,344.0,7160.0,19.433077,-99.198212,No
12351,apartment,AlvaroObregon,USD,1300000.0,400.0,3250.0,19.3738214762,-99.2454189062,No
12356,house,AlvaroObregon,MXN,1896713.0,1000.0,1897.0,19.318434,-99.204205,No
12376,store,Iztapalapa,MXN,339448.0,1758.0,193.0,19.325848,-99.075081,No
12400,house,Tlalpan,MXN,498005.0,3150.0,158.0,19.2466494,-99.1906671,Yes
12431,apartment,MiguelHidalgo,USD,1100000.0,220.0,5000.0,19.407269,-99.190754,No
12457,house,AlvaroObregon,MXN,1090610.0,887.0,1230.0,19.390806,-99.195413,No
12463,apartment,AlvaroObregon,MXN,1001043.0,329.0,3043.0,19.345484,-99.246781,No
12476,apartment,Cuajimalpa,USD,1500000.0,325.0,4615.0,19.392937,-99.263313,No
12490,house,MiguelHidalgo,MXN,1370173.0,769.0,1782.0,19.4133451,-99.2345135,Yes
12504,house,Cuajimalpa,MXN,1753406.0,730.0,2402.0,19.3904162,-99.2550003,No
12507,house,Cuajimalpa,USD,1219000.0,600.0,2032.0,19.38684,-99.255382,No
12520,house,Tlalpan,MXN,1185446.0,1288.0,920.0,19.250002,-99.182989,No
12531,apartment,MiguelHidalgo,MXN,1033704.0,230.0,4494.0,19.429925,-99.190627,No
12534,store,Cuauhtemoc,USD,2500000.0,1195.0,2092.0,19.440418,-99.138977,No
12584,house,MiguelHidalgo,MXN,1390923.0,525.0,2649.0,19.420166,-99.220367,Yes
12639,house,AlvaroObregon,MXN,1317162.0,880.0,1497.0,19.3871197,-99.2198411,No
12656,house,Cuauhtemoc,MXN,1290819.0,712.0,1813.0,19.439644,-99.139649,No
12691,apartment,MiguelHidalgo,USD,1885695.0,309.0,6103.0,19.407269,-99.190754,No
12704,apartment,Cuajimalpa,USD,1500000.0,350.0,4286.0,19.346092,-99.266393,No
12713,apartment,Cuajimalpa,MXN,1916011.0,527.0,3636.0,19.35735,-99.299792,No
12722,house,AlvaroObregon,USD,2450000.0,1240.0,1976.0,19.332001,-99.252579,Yes
12725,house,AlvaroObregon,MXN,1264476.0,380.0,3328.0,19.351912,-99.190111,No
12762,apartment,MiguelHidalgo,USD,1090000.0,211.0,5166.0,19.4368736,-99.1973268,Yes
12769,house,Tlalpan,MXN,1369849.0,780.0,1756.0,19.347502,-99.171906,No
12783,house,Cuauhtemoc,MXN,2055260.0,532.0,3863.0,19.4468279,-99.1594532,No
12792,apartment,Cuajimalpa,USD,1250000.0,360.0,3472.0,19.392937,-99.263313,No
12802,apartment,Cuajimalpa,MXN,2370892.0,800.0,2964.0,19.382275,-99.270241,Yes
12823,apartment,MiguelHidalgo,USD,1200000.0,350.0,3429.0,19.2464696,-99.1013498,No
12875,house,Tlalpan,MXN,1053730.0,995.0,1059.0,19.284397,-99.195494,No
12907,apartment,AlvaroObregon,USD,1673373.0,231.0,7244.0,19.33923,-99.218987,No
12921,house,AlvaroObregon,MXN,1317162.0,1100.0,1197.0,19.339992,-99.262319,No
12928,house,AlvaroObregon,MXN,1844464.0,1004.0,1837.0,19.320576,-99.20929,Yes
12932,apartment,MiguelHidalgo,USD,1800000.0,290.0,6207.0,23.634501,-102.552788,No
12933,apartment,MiguelHidalgo,USD,2600000.0,430.0,6047.0,19.407269,-99.190754,No
12994,house,AlvaroObregon,MXN,1422872.0,1430.0,995.0,19.3139049789,-99.2115680873,Yes
13014,house,MiguelHidalgo,USD,2100000.0,800.0,2625.0,19.398298,-99.226696,No
13015,apartment,MiguelHidalgo,USD,1380700.0,673.0,2052.0,19.407269,-99.190754,Yes
13019,apartment,MiguelHidalgo,MXN,1053730.0,196.0,5376.0,19.430766,-99.191251,No
13020,house,MiguelHidalgo,USD,6300000.0,2150.0,2930.0,19.3906531,-99.2586554,Yes
13041,apartment,MiguelHidalgo,MXN,1053730.0,176.0,5987.0,19.430766,-99.191251,No
13059,apartment,Cuajimalpa,MXN,2370892.0,682.0,3476.0,19.375564,-99.272916,No
13078,house,MiguelHidalgo,USD,3500000.0,1179.0,2969.0,19.397221,-99.23887,No
13083,apartment,MiguelHidalgo,USD,1256606.0,206.0,6100.0,19.2464696,-99.1013498,Yes
13097,apartment,AlvaroObregon,USD,1650000.0,877.0,1881.0,19.3863928,-99.2255625,Yes
13100,house,MiguelHidalgo,USD,2200000.0,800.0,2750.0,19.407269,-99.190754,Yes
13103,apartment,MiguelHidalgo,USD,1150000.0,170.0,6765.0,19.407269,-99.190754,No
13126,house,Cuajimalpa,USD,2000000.0,1350.0,1481.0,19.35735,-99.299792,Yes
13161,house,MiguelHidalgo,USD,3450000.0,545.0,6330.0,19.4311536508,-99.2106650211,Yes
13174,house,MiguelHidalgo,USD,1700000.0,640.0,2656.0,19.430169,-99.176457,No
13215,apartment,Cuajimalpa,USD,1200000.0,460.0,2609.0,19.355751,-99.299347,No
13224,house,AlvaroObregon,MXN,1159103.0,500.0,2318.0,19.352905,-99.196136,No
